Test Name,Test Link,Remote Testing,Adaptive/IRT,Test Type,Description,Job Levels,Assessment Length,Tags
Industrial - Professional and Skilled 7.0 Solution,https://www.shl.com/solutions/products/product-catalog/view/industrial-professional-and-skilled-7-0-solution/,Yes,Yes,AB,"Our Industrial – Professional and Skilled 7.0 solution is designed to measure the behaviors and experiences that underlie successful and safe performance in the workplace for specialized technical or professional industrial roles. 
This solution assesses mechanical comprehension and other foundational behaviors including: behaving safely and efficiently in the workplace; installing, repairing, and/or maintaining equipment and machinery; making sound mechanical decisions; maintaining an orderly work environment; and producing high quality and reliable work.Report Language Availability:English (USA), Latin American Spanish.","Entry-Level,",Approximate Completion Time in minutes = 49,"['industrial', 'mechanical comprehension', 'safety', 'efficiency', 'equipment maintenance', 'machinery maintenance', 'mechanical decisions', 'workplace organization', 'quality', 'reliability', 'technical roles', 'professional roles', 'behavioral assessment', 'experience assessment', 'English (USA)', 'Latin American Spanish']"
COBOL Programming (New),https://www.shl.com/solutions/products/product-catalog/view/cobol-programming-new/,Yes,,K,"Multi-choice test that measures the knowledge of COBOL programming fundamentals, programming structure and different types of application processing.","Mid-Professional, Professional Individual Contributor,",Approximate Completion Time in minutes = 10,"['COBOL', 'COBOL Programming', 'Fundamentals', 'Programming Structure', 'Application Processing', 'Multi-choice', 'Entry-level']"
Computer Science (New),https://www.shl.com/solutions/products/product-catalog/view/computer-science-new/,Yes,,K,"Multi-choice test that measures the knowledge of operating system, computer architecture, DBMS and basics of computer networks and communication.","Mid-Professional, Professional Individual Contributor,",Approximate Completion Time in minutes = 12,"['Computer Science', 'Operating Systems', 'Computer Architecture', 'DBMS', 'Database Management Systems', 'Computer Networks', 'Communication', 'Multi-choice', 'Fundamentals', 'Entry-level']"
Contact Center Call Simulation (New),https://www.shl.com/solutions/products/product-catalog/view/contact-center-call-simulation-new/,Yes,,S,Simulation based test that measures the ability to handle customer concerns over a call by referring to standard process documents. It also measures typing and documentation skills.,"Entry-Level,",Approximate Completion Time in minutes = 15,"['Contact Center', 'Call Simulation', 'Customer Service', 'Customer Support', 'Communication Skills', 'Problem Solving', 'Documentation', 'Typing Skills', 'Process Adherence', 'Scenario-Based', 'Call Handling', 'Customer Concerns', 'Standard Process', 'Simulation']"
Conversational Multichat Simulation,https://www.shl.com/solutions/products/product-catalog/view/conversational-multichat-simulation/,Yes,,S,"This is a simulation-based test that measures the ability to handle customer concerns over multiple chats by referring to standard process documents. It provides an open-ended chat environment that assesses the candidate’s skills in a real job setting. Candidates are scored based on whether they resolved the customer’s query, the amount of time taken, and the correct use of vocabulary and grammar in their response.",,Approximate Completion Time in minutes = 11,"['customer service', 'chat simulation', 'communication skills', 'problem-solving', 'process adherence', 'time management', 'written communication', 'grammar', 'vocabulary', 'scenario-based', 'customer support', 'help desk', 'open-ended', 'real-job setting', 'customer query resolution']"
Core Java (Advanced Level) (New),https://www.shl.com/solutions/products/product-catalog/view/core-java-advanced-level-new/,Yes,,K,"Multi-choice test that measures the knowledge of basic Java constructs, OOP concepts, files and exception handling, and advanced Java concepts like generics, collections, threads, strings and concurrency.","Mid-Professional, Professional Individual Contributor,",Approximate Completion Time in minutes = 13,"['Java', 'Core Java', 'Advanced Level', 'Object-Oriented Programming', 'OOP', 'Generics', 'Collections', 'Threads', 'Strings', 'Concurrency', 'Exception Handling', 'File Handling', 'Multi-Choice', 'Technical Skills']"
Core Java (Entry Level) (New),https://www.shl.com/solutions/products/product-catalog/view/core-java-entry-level-new/,Yes,,K,"Multi-choice test that measures the knowledge of basic Java constructs, OOP concepts, file handling, exception handling, threads, generic class and inner class.","Mid-Professional, Professional Individual Contributor,",Approximate Completion Time in minutes = 13,"['Java', 'Core Java', 'Entry Level', 'Junior Developer', 'Object-Oriented Programming', 'OOP', 'File Handling', 'Exception Handling', 'Threads', 'Generics', 'Inner Classes', 'Multi-Choice']"
Count Out The Money,https://www.shl.com/solutions/products/product-catalog/view/count-out-the-money/,Yes,Yes,KS,The Count out the Money –US test measures a candidate’s money handling ability. This test is designed for entry-level positions where handling money is required on a regular basis.,"Entry-Level,",Approximate Completion Time in minutes = 5,"['Money Handling', 'Cash Handling', 'Basic Math', 'Entry-Level', 'Retail', 'Customer Service', 'Accuracy', 'US Currency']"
CSS3 (New),https://www.shl.com/solutions/products/product-catalog/view/css3-new/,Yes,,K,Multi-choice test that measures the knowledge of CSS3 and its application in providing style to web documents.,"Mid-Professional, Professional Individual Contributor,",Approximate Completion Time in minutes = 8,"['CSS3', 'Cascading Style Sheets', 'Web Development', 'Front-end Development', 'Styling', 'Multi-choice', 'Beginner', 'HTML', 'Web Documents']"
Culinary Skills (New),https://www.shl.com/solutions/products/product-catalog/view/culinary-skills-new/,Yes,,K,"Multi-choice test that measures the knowledge of cooking principles, cooking equipment, meal preparation and presentation, and kitchen safety.","Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor,",Approximate Completion Time in minutes = 7,"['culinary skills', 'cooking principles', 'cooking equipment', 'meal preparation', 'food presentation', 'kitchen safety', 'food service', 'multiple-choice', 'knowledge assessment']"
Customer Service Phone Simulation,https://www.shl.com/solutions/products/product-catalog/view/customer-service-phone-simulation/,Yes,,BS,"As part of Contact Center Simulations, the Customer Service Phone Simulation is designed for entry-level positions in a contact center environment. Sample tasks for these jobs include: verify the customer or account; take ownership of customer issues; interact with customers to provide information; respond positively to difficult, irate, or confused customers; listen attentively to callers; resolve calls in a timely manner; navigate within multiple information menus to view customer account details and process information; and type information quickly and accurately. Potential job titles that use this solution are: Call Center Representative, Contact Center Representative, Contact Center Agent, Customer Service Agent, Customer Service Representative, and Customer Advocate.""Please note that for Simplified Chinese version the audio is available in both Mandarin and Cantonese.""","Entry-Level,",Approximate Completion Time in minutes = 20,"['customer service', 'call center', 'contact center', 'phone simulation', 'entry-level', 'customer interaction', 'issue resolution', 'active listening', 'information retrieval', 'typing speed', 'customer service representative', 'call center representative', 'contact center agent', 'customer service agent', 'customer advocate', 'Mandarin', 'Cantonese']"
Customer Service Phone Solution,https://www.shl.com/solutions/products/product-catalog/view/customer-service-phone-solution/,Yes,,BPS,"As part of Contact Center Simulations, the Customer Service Phone Solution includes a contact center simulation and two behavioral tests designed to measure a wide range of skills, competencies, and behavioral tendencies relevant for contact center jobs. The Contact Center Simulation provides an opportunity for candidates to interact with simulated customers in a contact center environment. Designed to measure a candidate’s ability to listen attentively to the customer, take ownership of customer issues, resolve issues, navigate to find information, and enter information accurately, the Contact Center Simulation is intended to measure how a candidate will respond in a variety of customer situations and assess the candidate’s computer skills in a contact center setting. The behavioral tests in this solution are intended to measure the candidate’s learning potential and the tendency to meet goals and work hard, even when faced with obstacles. Collectively, the assessments in this solution measure a wide range of important skills, abilities, and behaviors for entry-level contact center roles.""Please note that for Simplified Chinese version the audio is available in both Mandarin and Cantonese.""","Entry-Level,",Approximate Completion Time in minutes = 30,"['Customer Service', 'Contact Center', 'Simulation', 'Behavioral Assessment', 'Listening Skills', 'Problem Solving', 'Information Navigation', 'Data Entry', 'Learning Potential', 'Goal Orientation', 'Resilience', 'Entry-Level', 'Customer Interaction', 'Issue Resolution', 'Computer Skills', 'Mandarin', 'Cantonese']"
Cyber Risk (New),https://www.shl.com/solutions/products/product-catalog/view/cyber-risk-new/,Yes,,K,"Multi-choice test that measures the knowledge of cyber risk management, system and application security, network security and security management.","Manager, Mid-Professional, Professional Individual Contributor, Supervisor,",Approximate Completion Time in minutes = 9,"['Cyber Risk Management', 'System Security', 'Application Security', 'Network Security', 'Security Management', 'Multiple Choice', 'Information Security', 'Risk Assessment']"
Industrial - Semi-skilled 7.1 (Americas),https://www.shl.com/solutions/products/product-catalog/view/industrial-semi-skilled-7-1-%28americas%29/,Yes,,B,"Our Industrial – Semi-skilled 7.1 solution is designed for entry-level positions and measures the behaviors and experiences that underlie successful and safe performance for production workers. The solution assesses behaviors and competencies foundational to industrial roles including: following policies and procedures; applying relevant trade skills; wearing required protective equipment; working with or monitoring equipment; producing high quality work; effectively working with others; and maintaining an orderly work environment. 
Potential job titles that use this solution include: Production and Assembly Worker, Construction Worker, Extraction Technician.Please note this package is in Americas norm.","Entry-Level,",Approximate Completion Time in minutes = 24,"['Industrial', 'Semi-skilled', 'Entry-level', 'Production Worker', 'Assembly Worker', 'Construction Worker', 'Extraction Technician', 'Following Procedures', 'Trade Skills', 'Protective Equipment', 'Equipment Monitoring', 'Quality Work', 'Teamwork', 'Work Environment', 'Safety', 'Americas Norm']"
Industrial - Semi-skilled 7.1 (International),https://www.shl.com/solutions/products/product-catalog/view/industrial-semi-skilled-7-1-%28international%29/,Yes,,B,"Our Industrial – Semi-skilled 7.1 solution is designed for entry-level positions and measures the behaviors and experiences that underlie successful and safe performance for production workers. The solution assesses behaviors and competencies foundational to industrial roles including: following policies and procedures; applying relevant trade skills; wearing required protective equipment; working with or monitoring equipment; producing high quality work; effectively working with others; and maintaining an orderly work environment. 
Potential job titles that use this solution include: Production and Assembly Worker, Construction Worker, Extraction Technician.Please note this package is in International norm.","Entry-Level,",Approximate Completion Time in minutes = 24,"['Industrial', 'Semi-skilled', 'Entry-level', 'Production Worker', 'Assembly Worker', 'Construction Worker', 'Extraction Technician', 'Following procedures', 'Trade skills', 'Safety', 'Protective equipment', 'Equipment operation', 'Quality control', 'Teamwork', 'Work environment', 'International norm']"
Industrial Professional and Skilled 7.1 (Americas),https://www.shl.com/solutions/products/product-catalog/view/industrial-professional-and-skilled-7-1-%28americas%29/,Yes,,AB,"Our Industrial – Professional and Skilled 7.1 solution is designed to measure the behaviors and experiences that underlie successful and safe performance in the workplace for specialized technical or professional industrial roles. 
This solution assesses mechanical comprehension and other foundational behaviors including: behaving safely and efficiently in the workplace; installing, repairing, and/or maintaining equipment and machinery; making sound mechanical decisions; maintaining an orderly work environment; and producing high quality and reliable work.“IMPORTANT! Please note that you will need to select the correct package depending on which norm you intend to use. The package available for this product is International and Americas"".","Entry-Level,",Approximate Completion Time in minutes = 49,"['industrial', 'professional', 'skilled', 'mechanical comprehension', 'safety', 'efficiency', 'equipment maintenance', 'machinery maintenance', 'mechanical decisions', 'workplace organization', 'quality work', 'reliability', 'technical roles', 'Americas']"
Industrial Professional and Skilled 7.1 Solution,https://www.shl.com/solutions/products/product-catalog/view/industrial-professional-and-skilled-7-1-solution/,Yes,,AB,"Our Industrial – Professional and Skilled 7.1 solution is designed to measure the behaviors and experiences that underlie successful and safe performance in the workplace for specialized technical or professional industrial roles. 
This solution assesses mechanical comprehension and other foundational behaviors including: behaving safely and efficiently in the workplace; installing, repairing, and/or maintaining equipment and machinery; making sound mechanical decisions; maintaining an orderly work environment; and producing high quality and reliable work.“IMPORTANT! Please note that you will need to select the correct package depending on which norm you intend to use. The package available for this product is International and Americas"".","Entry-Level,",Approximate Completion Time in minutes = 49,"['industrial', 'professional', 'skilled', 'mechanical comprehension', 'safety', 'efficiency', 'equipment maintenance', 'machinery maintenance', 'mechanical decisions', 'workplace organization', 'quality', 'reliability', 'technical roles', 'installation', 'repair', 'behavioral assessment', 'experience assessment']"
Installation and Repair Technician Solution,https://www.shl.com/solutions/products/product-catalog/view/installation-and-repair-technician-solution/,Yes,Yes,ABPS,"The Installation and Repair Technician solution is designed for use with entry-level field technician positions in the telecommunications industry. The solution is focused on positions that involve installing, repairing, and maintaining telecommunications equipment, along with some customer interaction, and little to no specific sales components. Sample tasks may include: installing or repairing end-user telecommunications equipment and services, interacting with customers, and installing, or repairing telecommunications network infrastructure. Potential job titles that use this solution are: Installer, Service Technician, and Customer Installation Technician. There are multiple configurations of this solution available.","Professional Individual Contributor,",Approximate Completion Time in minutes = 49,"['Telecommunications', 'Installation', 'Repair', 'Field Technician', 'Entry-level', 'Customer Interaction', 'Network Infrastructure', 'Service Technician', 'Customer Installation Technician', 'Equipment Maintenance']"
Insurance Account Manager Solution,https://www.shl.com/solutions/products/product-catalog/view/insurance-account-manager-solution/,Yes,Yes,ABPS,"The Insurance Account Manager solution is for mid-level insurance professionals that manage the day-to-day operations and activities of customer accounts.  Sample tasks for this job include, but are not limited to: soliciting sales of new or additional products or services; interacting with customers to provide information in response to inquiries about products and services and to handle and resolve complaints; keeping records of customer interactions and transactions; resolving customers' service or billing complaints; determining charges for services requested; collecting deposits or payments; and arranging for billing.  Potential job titles that use this solution are: Account Executive, Account Manager, and Senior Account Manager.  Multiple configurations of this solution are available.","Mid-Professional,",Approximate Completion Time in minutes = 48,"['Insurance Account Manager', 'Account Executive', 'Account Manager', 'Senior Account Manager', 'Mid-level', 'Customer service', 'Sales', 'Customer interaction', 'Complaint resolution', 'Billing', 'Record keeping', 'Insurance', 'Financial services']"
Insurance Administrative Assistant Solution,https://www.shl.com/solutions/products/product-catalog/view/insurance-administrative-assistant-solution/,Yes,Yes,ABPS,"The Administrative Assistant solution is for entry-level clerical positions that interact with external or internal customers. Sample tasks for this job include, but are not limited to: answering telephones; managing files and records; sorting mail; handling information requests; greeting customers; and collaborating with co-workers on projects. Potential job titles that use this solution are: Receptionist and Administrative Assistant. Multiple configurations of this solution are available.","Entry-Level,",Approximate Completion Time in minutes = 24,"['Administrative Assistant', 'Receptionist', 'Entry-Level', 'Clerical', 'Customer Service', 'Communication Skills', 'File Management', 'Record Keeping', 'Telephone Etiquette', 'Mail Sorting', 'Information Handling', 'Collaboration', 'Insurance Domain']"
Insurance Agent Solution,https://www.shl.com/solutions/products/product-catalog/view/insurance-agent-solution/,Yes,Yes,ABP,"The Insurance Agent solution is for mid-level professional positions in the insurance industry that sell property, casualty, automotive, or other types of insurance. Sample tasks for this position include, but are not limited to: calling on policyholders to deliver and explain policies or suggest additions or changes; calculating premiums; customizing insurance programs to suit individual customers; ensuring policy requirements are fulfilled; and conferring with clients to obtain and provide information when claims are made on a policy. Potential job titles that use this solution are: Insurance Sales Professional; Insurance Sales Agent; Producer; Insurance Agent. Multiple configurations of this solution are available.","Mid-Professional,",Approximate Completion Time in minutes = 46,"['insurance', 'insurance agent', 'insurance sales', 'property insurance', 'casualty insurance', 'automotive insurance', 'insurance sales professional', 'producer', 'mid-level', 'policyholder communication', 'premium calculation', 'customer service', 'insurance claims', 'policy customization', 'sales']"
Insurance Director Solution,https://www.shl.com/solutions/products/product-catalog/view/insurance-director-solution/,Yes,Yes,ABP,"The Insurance Director solution is for senior-level management positions in the insurance companies that oversee sales functions across multiple brokerages, offices, or agencies or geographic territories. Sample tasks for this job includes, but is not limited to: directing a group of sales managers or agency managers; having profit and loss responsibility for a district or region; and aligning work with overall company goals. Potential job titles that use this solution are: Regional Managers, Associate Directors, and Managing Directors. Multiple configurations of this solution are available.","Director, Front Line Manager, Manager, Supervisor,",Approximate Completion Time in minutes = 49,"['Insurance', 'Director', 'Regional Manager', 'Associate Director', 'Managing Director', 'Sales Management', 'Senior-Level', 'Profit and Loss Responsibility', 'Strategic Alignment', 'Multi-location Management', 'Brokerage Management', 'Agency Management']"
Insurance Sales Manager Solution,https://www.shl.com/solutions/products/product-catalog/view/insurance-sales-manager-solution/,Yes,Yes,ABPS,"The Sales Manager solution is for entry- to mid-level management positions that involve supervising employees working in an insurance organization and have a substantial portion of their job performance based on sales. Sample tasks for this job include, but are not limited to: planning and preparing work schedules; promoting products to customers; training subordinates; analyzing sales statistics gathered by staff to determine sales potential and monitor preferences of customers; building ongoing customer relationships; and making day-to-day decisions with minimal guidance from others. Potential job titles that use this solution are: Insurance Sales Manager, Sales Manager, Assistant Sales Manager, and Sales Supervisor. Multiple configurations of this solution are available.","Front Line Manager, Manager, Supervisor,",Approximate Completion Time in minutes = 51,"['Insurance Sales Manager', 'Sales Manager', 'Assistant Sales Manager', 'Sales Supervisor', 'Entry-level', 'Mid-level', 'Management', 'Supervising', 'Sales', 'Sales statistics analysis', 'Customer relationships', 'Training', 'Work schedules', 'Decision-making', 'Insurance', 'Product promotion']"
Manager - Short Form,https://www.shl.com/solutions/products/product-catalog/view/manager-short-form/,Yes,Yes,ABKPS,"The Manager solution is an assessment used for job candidates applying to entry-level leadership positions who tend to supervise salaried employees. Sample tasks for these jobs include, but are not limited to: planning projects with subordinates; collaborating with senior managers on developing new methods and procedures; coaching employees on performance-related issues; developing employees' skills; coordinating activities with other managers to accomplish organizational goals; setting and meeting department goals; prioritizing multiple tasks and priorities; making selected strategic and day-to-day decisions; and solving employees' and customers' problems. Potential job titles that use this solution are: Manager, Store Manager, and Branch Manager.","Front Line Manager, Manager, Supervisor,",Approximate Completion Time in minutes = 57,"['leadership', 'management', 'entry-level', 'salaried employees', 'project planning', 'collaboration', 'coaching', 'employee development', 'coordination', 'goal setting', 'prioritization', 'decision-making', 'problem-solving', 'strategic decisions', 'day-to-day decisions', 'manager', 'store manager', 'branch manager']"
Manager + 7.0 Solution,https://www.shl.com/solutions/products/product-catalog/view/manager-7-0-solution-3955/,Yes,Yes,ABC,"Our Manager + 7.0 solution is designed for candidates applying to entry-level leadership positions who tend to supervise salaried employees, and includes SHL’s new innovative mobile-first ability assessment, Verify Interactive – Deductive Reasoning. Sample tasks for these jobs include, but are not limited to: planning projects with subordinates; collaborating with senior managers on developing new methods and procedures; coaching employees on performance-related issues; developing employees ' skills; coordinating activities with other managers to accomplish organizational goals; setting and meeting department goals; prioritizing multiple tasks and priorities; making selected strategic and day-to-day decisions; and solving employees' and customers' problems.Report Language Availability:English (USA).","Front Line Manager, Manager,",Approximate Completion Time in minutes = 53,"['leadership', 'entry-level', 'manager', 'supervision', 'salaried employees', 'deductive reasoning', 'project planning', 'collaboration', 'coaching', 'employee development', 'coordination', 'goal setting', 'prioritization', 'decision-making', 'problem-solving', 'strategic decision-making', 'Verify Interactive', 'SHL', 'mobile-first', 'English (USA)']"
Data Entry (New),https://www.shl.com/solutions/products/product-catalog/view/data-entry-new/,Yes,,S,Simulated data entry test that measures the ability to accurately transcribe data from pre-filled forms and the ability to verify pre-filled data.,"Entry-Level,",Approximate Completion Time in minutes = 4,"['Data Entry', 'Transcription', 'Data Verification', 'Accuracy', 'Typing', 'Form Filling', 'Administrative Assistant', 'Entry-Level']"
Data Entry Alphanumeric Split Screen - US,https://www.shl.com/solutions/products/product-catalog/view/data-entry-alphanumeric-split-screen-us/,Yes,,K,"The Data Entry Alphanumeric Split Screen - US assessment measures speed and accuracy at typing text and numbers into forms. The information includes business-related text and numbers such as invoice number, address, product number and amount. The test assesses for speed and accuracy.","Professional Individual Contributor, Mid-Professional, Front Line Manager, Entry-Level,",Approximate Completion Time in minutes = 5,"['Data Entry', 'Alphanumeric Data Entry', 'Typing Speed', 'Typing Accuracy', 'Forms Processing', 'Invoice Processing', 'Address Verification', 'Product Number Identification', 'Numerical Data Entry', 'Text Data Entry', 'US Specific', 'Data Processing', 'Entry Level']"
Data Entry Numeric Split Screen - US,https://www.shl.com/solutions/products/product-catalog/view/data-entry-numeric-split-screen-us/,Yes,,K,"The Data Entry Numeric Split Screen - US assessment measures speed and accuracy at typing numbers into forms. The information candidates must enter includes business-related records including number fields such as customer number, order number, item number and quantity. Candidates may use either the keyboard's numeric keypad or the number keys at the top of the keyboard.","Mid-Professional, Professional Individual Contributor, Entry-Level, Front Line Manager,",Approximate Completion Time in minutes = 5,"['Data Entry', 'Numeric Data Entry', 'Split Screen', 'Typing Speed', 'Typing Accuracy', 'Data Entry Speed', 'Data Entry Accuracy', 'Numeric Keypad', 'Keyboard Skills', 'Business Records', 'Order Number', 'Customer Number', 'Item Number', 'Quantity', 'Attention to Detail']"
Data Entry Ten Key Split Screen,https://www.shl.com/solutions/products/product-catalog/view/data-entry-ten-key-split-screen/,Yes,,K,Data Entry Ten Key Split Screen assessment measures ability to enter numbers using a numeric keypad. The test measures accuracy and speed.,"Entry-Level, Front Line Manager, Mid-Professional, Professional Individual Contributor,",Approximate Completion Time in minutes = 3,"['Data Entry', 'Ten Key', 'Numeric Keypad', 'Accuracy', 'Speed', 'Typing Skills', 'Data Processing']"
Data Science (New),https://www.shl.com/solutions/products/product-catalog/view/data-science-new/,Yes,,K,"Multi-choice test that measures the conceptual knowledge on how to use machine learning to analyze data, extract information, draw conclusions and make statistically-driven decisions.","Mid-Professional, Professional Individual Contributor,",Approximate Completion Time in minutes = 14,"['Data Science', 'Machine Learning', 'Data Analysis', 'Statistical Analysis', 'Decision Making', 'Conceptual Knowledge', 'Multi-choice', 'Information Extraction']"
Data Warehousing Concepts,https://www.shl.com/solutions/products/product-catalog/view/data-warehousing-concepts/,Yes,Yes,K,"The Data Warehousing Concepts test measures knowledge of Data Warehousing. Designed for experienced users, this test covers the following topics: Big Data and Data Warehouse Appliance, Business Considerations, Data Transformation, Data Warehousing and Data Marts, Design, Dimensional Data Model, On Line Analytical Processing (OLAP), Querying and Reporting/Data Extraction.","Mid-Professional, Professional Individual Contributor,",Approximate Completion Time in minutes = 25,"['Data Warehousing', 'Big Data', 'Data Warehouse Appliance', 'Business Considerations', 'Data Transformation', 'Data Marts', 'Dimensional Data Model', 'OLAP', 'Querying', 'Reporting', 'Data Extraction', 'Experienced Users']"
Dependability and Safety Instrument (DSI),https://www.shl.com/solutions/products/product-catalog/view/dependability-and-safety-instrument-dsi/,Yes,,P,"The DSI is a short pre-screening tool for many key entry-level roles. It is designed to identify potential employees who will have good dependability and reliability, and who are less likely to engage in counter-productive work behaviors.

Note: Turkish [end June 2012] and Romanian [end May 2013] are on limited beta relase","Entry-Level,",Approximate Completion Time in minutes = 10,"['Dependability', 'Reliability', 'Counter-Productive Work Behaviors', 'Pre-screening', 'Entry-Level Roles', 'Employee Selection', 'Workplace Safety']"
Dermatology (New),https://www.shl.com/solutions/products/product-catalog/view/dermatology-new/,Yes,,K,"Multi-choice test that measures the knowledge of various diseases related to skin, their symptoms, the drugs used to treat them, and different terminologies used in the field of dermatology.","Graduate, Mid-Professional, Professional Individual Contributor,",Approximate Completion Time in minutes = 3,"['Dermatology', 'Skin Diseases', 'Medical Knowledge', 'Multi-Choice Questions', 'Symptoms', 'Medical Terminology', 'Drug Knowledge', 'Clinical Knowledge']"
Desktop Support (New),https://www.shl.com/solutions/products/product-catalog/view/desktop-support-new/,Yes,,K,"Multi-choice test that measures the knowledge of networking, peripheral components, operating systems, troubleshooting and providing technical support.","Graduate, Mid-Professional, Professional Individual Contributor,",Approximate Completion Time in minutes = 8,"['Desktop Support', 'Technical Support', 'Networking', 'Peripheral Components', 'Operating Systems', 'Troubleshooting', 'Multi-choice', 'Help Desk', 'IT Support']"
Digital Advertising (New),https://www.shl.com/solutions/products/product-catalog/view/digital-advertising-new/,Yes,,K,Multi-choice test that measures the candidate's knowledge about use of AdWords and tools to analyze ad performance on digital media.,"Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor,",Approximate Completion Time in minutes = 7,"['Digital Advertising', 'AdWords', 'Ad Performance Analysis', 'Digital Media', 'Multi-Choice', 'Marketing', 'Advertising', 'Campaign Analysis']"
Digital Readiness Development Report - IC,https://www.shl.com/solutions/products/product-catalog/view/digital-readiness-development-report/,Yes,,P,"This participant-oriented report is aimed at individual contributors (non-managerial) and summarizes the way that they have described their typical style at work and is interpreted against SHL's Digital Readiness Framework. The report describes the way the person typically behaves, rather than their actual skill levels. It gives an indication of the individual's likely strengths in each area and makes suggestions for development activities, based upon the information gained from the
questionnaire.Note: this report is specifically aimed at Individual Contributors. A version designed for Managers is also available (seeDigital Readiness Report - Managers).","Director, Entry-Level, Executive, Front Line Manager, General Population, Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor,",,"['digital readiness', 'individual contributor', 'non-managerial', 'self-assessment', 'behavioral assessment', 'work style', 'development report', 'SHL', 'digital skills', 'strengths', 'development activities', 'questionnaire', 'IC']"
Digital Readiness Development Report - Manager,https://www.shl.com/solutions/products/product-catalog/view/digital-readiness-development-report-manager/,Yes,,P,"This participant-oriented report is aimed employees with management responsibilities and summarizes the way that they have described their typical style at work and is interpreted against SHL's Digital Readiness Framework. The report describes the way the person typically behaves, rather than their actual skill levels. It gives an indication of the individual's likely strengths in each area and makes suggestions for development activities, based upon the information gained from the
questionnaire.Note: this report is specifically aimed at managers. A version designed for individual contributors is also available (seeDigital Readiness Report - IC).","Entry-Level, Executive, Front Line Manager, General Population, Graduate, Manager, Mid-Professional, Supervisor, Director,",,"['digital readiness', 'management', 'leadership', 'self-assessment', 'development report', 'SHL Digital Readiness Framework', 'behavioral assessment', 'managerial skills', 'soft skills', 'development activities', 'questionnaire-based', 'employee development', 'work style', 'strengths identification', 'individual contributor comparison']"
Manager + 7.1 (Americas),https://www.shl.com/solutions/products/product-catalog/view/manager-7-1-solution-4242/,Yes,Yes,BCP,"Our Manager + 7.1 solution is designed for candidates applying to entry-level leadership positions who tend to supervise salaried employees, and includes SHL’s new innovative mobile-first ability assessment, Verify Interactive – Deductive Reasoning. Sample tasks for these jobs include, but are not limited to: planning projects with subordinates; collaborating with senior managers on developing new methods and procedures; coaching employees on performance-related issues; developing employees ' skills; coordinating activities with other managers to accomplish organizational goals; setting and meeting department goals; prioritizing multiple tasks and priorities; making selected strategic and day-to-day decisions; and solving employees' and customers' problems.Report Language Availability:English (USA), Canadian French.“IMPORTANT! Please note that you will need to select the correct package depending on which norm you intend to use. The package available for this product is Americas and International"".","Director, Executive, Front Line Manager, Manager,",Approximate Completion Time in minutes = 63,"['leadership', 'entry-level', 'manager', 'deductive reasoning', 'problem-solving', 'project planning', 'collaboration', 'coaching', 'employee development', 'goal setting', 'prioritization', 'decision-making', 'strategic decisions', 'supervision', 'performance management', 'Americas', 'mobile-first', 'SHL Verify Interactive', 'salaried employees', 'department goals', 'organizational goals', 'English (USA)', 'Canadian French']"
Manager + 7.1 (International),https://www.shl.com/solutions/products/product-catalog/view/manager-7-1-%28international%29/,Yes,Yes,BCP,"Our Manager + 7.1 solution is designed for candidates applying to entry-level leadership positions who tend to supervise salaried employees, and includes SHL’s new innovative mobile-first ability assessment, Verify Interactive – Deductive Reasoning. Sample tasks for these jobs include, but are not limited to: planning projects with subordinates; collaborating with senior managers on developing new methods and procedures; coaching employees on performance-related issues; developing employees ' skills; coordinating activities with other managers to accomplish organizational goals; setting and meeting department goals; prioritizing multiple tasks and priorities; making selected strategic and day-to-day decisions; and solving employees' and customers' problems.Report Language Availability:English (USA), Canadian French, Brazilian Portuguese, Danish, Dutch, Finnish, Italian, Norwegian, Swedish.“IMPORTANT! Please note that you will need to select the correct package depending on which norm you intend to use. The package available for this product is Americas and International"".","Director, Executive, Front Line Manager, Manager,",Approximate Completion Time in minutes = 63,"['leadership', 'entry-level', 'manager', 'supervision', 'salaried employees', 'deductive reasoning', 'project planning', 'collaboration', 'coaching', 'employee development', 'coordination', 'goal setting', 'prioritization', 'decision-making', 'problem-solving', 'strategic decisions', 'cross-functional', 'English (USA)', 'Canadian French', 'Brazilian Portuguese', 'Danish', 'Dutch', 'Finnish', 'Italian', 'Norwegian', 'Swedish', 'mobile-first assessment', 'SHL Verify Interactive']"
Manager 7.0 Solution,https://www.shl.com/solutions/products/product-catalog/view/manager-7-0-solution/,Yes,,BC,"Our Manager 7.0 solution is designed for candidates applying to entry-level leadership positions who tend to supervise salaried employees. Sample tasks for these jobs include, but are not limited to: planning projects with subordinates; collaborating with senior managers on developing new methods and procedures; coaching employees on performance-related issues; developing employees ' skills; coordinating activities with other managers to accomplish organizational goals; setting and meeting department goals; prioritizing multiple tasks and priorities; making selected strategic and day-to-day decisions; and solving employees' and customers' problems.Report Language Availability:English (USA), Latin American Spanish.","Manager, Front Line Manager,",Approximate Completion Time in minutes = 35,"['leadership', 'management', 'entry-level', 'supervisory', 'project planning', 'collaboration', 'coaching', 'employee development', 'coordination', 'goal setting', 'prioritization', 'decision-making', 'problem-solving', 'strategic decision making', 'employee management', 'customer service', 'English (USA)', 'Latin American Spanish']"
